Nation,Tag,Year,Emissions,LAT,LON
Afghanistan,AFG,1950,84272,33.9391,67.7100
Afghanistan,AFG,1960,413885,33.9391,67.7100
Afghanistan,AFG,1970,1670397,33.9391,67.7100
Afghanistan,AFG,1980,1756302,33.9391,67.7100
Afghanistan,AFG,1990,2024326.1,33.9391,67.7100
Afghanistan,AFG,2000,1047127.94,33.9391,67.7100
Afghanistan,AFG,2010,8364803.5,33.9391,67.7100
Afghanistan,AFG,2020,11888066,33.9391,67.7100
Albania,ALB,1940,692496,41.1533,20.1683
Albania,ALB,1950,296725,41.1533,20.1683
Albania,ALB,1960,2022231.1,41.1533,20.1683
Albania,ALB,1970,3739486,41.1533,20.1683
Albania,ALB,1980,5170837,41.1533,20.1683
Albania,ALB,1990,5520602,41.1533,20.1683
Albania,ALB,2000,3024926,41.1533,20.1683
Albania,ALB,2010,4783865,41.1533,20.1683
Albania,ALB,2020,5018921,41.1533,20.1683
Algeria,DZA,1920,21984,28.0339,1.6596
Algeria,DZA,1930,84005,28.0339,1.6596
Algeria,DZA,1940,238160,28.0339,1.6596
Algeria,DZA,1950,3783605,28.0339,1.6596
Algeria,DZA,1960,6151241,28.0339,1.6596
Algeria,DZA,1970,15058960,28.0339,1.6596
Algeria,DZA,1980,66416464,28.0339,1.6596
Algeria,DZA,1990,76737624,28.0339,1.6596
Algeria,DZA,2000,85398600,28.0339,1.6596
Algeria,DZA,2010,118353256,28.0339,1.6596
Algeria,DZA,2020,169892770,28.0339,1.6596
Andorra,AND,1750,1000000,42.5063,-1.5218
Andorra,AND,1760,0,42.5063,-1.5218
Andorra,AND,1770,0,42.5063,-1.5218
Andorra,AND,1780,0,42.5063,-1.5218
Andorra,AND,1790,0,42.5063,-1.5218
Andorra,AND,1800,0,42.5063,-1.5218
Andorra,AND,1810,0,42.5063,-1.5218
Andorra,AND,1820,0,42.5063,-1.5218
Andorra,AND,1830,0,42.5063,-1.5218
Andorra,AND,1840,0,42.5063,-1.5218
Andorra,AND,1850,0,42.5063,-1.5218
Andorra,AND,1860,0,42.5063,-1.5218
Andorra,AND,1870,0,42.5063,-1.5218
Andorra,AND,1880,0,42.5063,-1.5218
Andorra,AND,1890,0,42.5063,-1.5218
Andorra,AND,1900,0,42.5063,-1.5218
Andorra,AND,1910,0,42.5063,-1.5218
Andorra,AND,1920,0,42.5063,-1.5218
Andorra,AND,1930,0,42.5063,-1.5218
Andorra,AND,1940,0,42.5063,-1.5218
Andorra,AND,1950,0,42.5063,-1.5218
Andorra,AND,1960,0,42.5063,-1.5218
Andorra,AND,1970,0,42.5063,-1.5218
Andorra,AND,1980,0,42.5063,-1.5218
Andorra,AND,1990,406704,42.5063,-1.5218
Andorra,AND,2000,523952,42.5063,-1.5218
Andorra,AND,2010,516623.97,42.5063,-1.5218
Andorra,AND,2020,373728,42.5063,-1.5218
Angola,AGO,1950,186864,-11.2027,17.8739
Angola,AGO,1960,548951,-11.2027,17.8739
Angola,AGO,1970,3577917,-11.2027,17.8739
Angola,AGO,1980,5334352,-11.2027,17.8739
Angola,AGO,1990,5089864,-11.2027,17.8739
Angola,AGO,2000,15995108,-11.2027,17.8739
Angola,AGO,2010,22983320,-11.2027,17.8739
Angola,AGO,2020,16764786,-11.2027,17.8739
Argentina,ARG,1890,1370336,-38.4161,-63.6167
Argentina,ARG,1900,2070159.9,-38.4161,-63.6167
Argentina,ARG,1910,8907184,-38.4161,-63.6167
Argentina,ARG,1920,5891712,-38.4161,-63.6167
Argentina,ARG,1930,12767495,-38.4161,-63.6167
Argentina,ARG,1940,15864415,-38.4161,-63.6167
Argentina,ARG,1950,29921192,-38.4161,-63.6167
Argentina,ARG,1960,48764500,-38.4161,-63.6167
Argentina,ARG,1970,82648000,-38.4161,-63.6167
Argentina,ARG,1980,108656130,-38.4161,-63.6167
Argentina,ARG,1990,112079090,-38.4161,-63.6167
Argentina,ARG,2000,142765220,-38.4161,-63.6167
Argentina,ARG,2010,185854340,-38.4161,-63.6167
Argentina,ARG,2020,166879580,-38.4161,-63.6167
Armenia,ARM,1830,40,40.0691,45.0382
Armenia,ARM,1850,250.99998,40.0691,45.0382
Armenia,ARM,1860,1496,40.0691,45.0382
Armenia,ARM,1870,8548,40.0691,45.0382
Armenia,ARM,1880,30967,40.0691,45.0382
Armenia,ARM,1890,59872,40.0691,45.0382
Armenia,ARM,1900,166044,40.0691,45.0382
Armenia,ARM,1910,212846,40.0691,45.0382
Armenia,ARM,1920,68541,40.0691,45.0382
Armenia,ARM,1930,342566,40.0691,45.0382
Armenia,ARM,1940,1063548,40.0691,45.0382
Armenia,ARM,1950,1480408,40.0691,45.0382
Armenia,ARM,1960,3153863,40.0691,45.0382
Armenia,ARM,1970,5180804,40.0691,45.0382
Armenia,ARM,1980,7719751,40.0691,45.0382
Armenia,ARM,1990,8947546,40.0691,45.0382
Armenia,ARM,2000,3491407,40.0691,45.0382
Armenia,ARM,2010,4252750,40.0691,45.0382
Armenia,ARM,2020,6799022,40.0691,45.0382
Aruba,ABW,1930,134573,12.5211,-69.9683
Aruba,ABW,1940,150449,12.5211,-69.9683
Aruba,ABW,1950,409579,12.5211,-69.9683
Aruba,ABW,1960,618561,12.5211,-69.9683
Aruba,ABW,1970,928761,12.5211,-69.9683
Aruba,ABW,1980,585435,12.5211,-69.9683
Aruba,ABW,1990,487312,12.5211,-69.9683
Aruba,ABW,2000,2377936,12.5211,-69.9683
Aruba,ABW,2010,2506176,12.5211,-69.9683
Aruba,ABW,2020,890352,12.5211,-69.9683
Australia,AUS,1750,0,-25.2744,133.7751
Australia,AUS,1760,0,-25.2744,133.7751
Australia,AUS,1770,0,-25.2744,133.7751
Australia,AUS,1780,0,-25.2744,133.7751
Australia,AUS,1790,0,-25.2744,133.7751
Australia,AUS,1800,0,-25.2744,133.7751
Australia,AUS,1810,1259,-25.2744,133.7751
Australia,AUS,1820,6160,-25.2744,133.7751
Australia,AUS,1830,5748,-25.2744,133.7751
Australia,AUS,1840,47605,-25.2744,133.7751
Australia,AUS,1850,112052,-25.2744,133.7751
Australia,AUS,1860,599769,-25.2744,133.7751
Australia,AUS,1870,1402391,-25.2744,133.7751
Australia,AUS,1880,2417483,-25.2744,133.7751
Australia,AUS,1890,5450851,-25.2744,133.7751
