Emissions,LAT,LON
0,42.5063,-1.5218
1496,40.0691,45.0382
599769,-25.2744,133.7751
6148192,47.5162,14.5501
8969,40.1431,47.5769
18901,53.7098,27.9534
15212928,50.5039,4.4699
0,27.5142,90.4336
0,4.5353,114.7277
381056,56.1304,-106.3468
0,7.54,5.5471
542272,56.2639,9.5018
6852,58.5953,25.0136
36640,61.9241,25.7482
38131250,46.2276,2.2137
2783,42.3154,43.3569
36394510,51.1657,10.4515
0,71.7069,-42.6043
0,-9.9456,9.6966
905008,47.1625,19.5033
643115,20.5937,78.9629
29312,41.8719,12.5674
45015,48.0196,66.9237
3888,41.2044,74.7661
4490,56.8796,24.6032
7027,55.1694,23.8813
0,22.1987,111.5439
0,21.0079,-10.9408
6990,47.4116,28.3699
4796176,52.1326,5.2913
333424,60.4720,8.4689
0,-6.3149,143.9555
7485552,51.9194,19.1451
3664,45.9432,24.9668
414325,61.5240,105.3188
0,8.4606,-11.7799
0,1.3521,103.8198
65086,48.6690,19.6990
1930928,40.4637,-3.7492
751120,60.1282,18.6435
304112,46.8182,8.2275
2216,38.8610,71.2761
5674,38.9697,59.5563
0,-7.1095,177.6493
131589,48.3794,31.1656
167950430,55.3781,-3.4360
47437810,37.0902,-95.7129
17625,41.3775,64.5853
