Emissions,LAT,LON
21984,28.0339,1.6596
0,42.5063,-1.5218
5891712,-38.4161,-63.6167
68541,40.0691,45.0382
26306108,-25.2744,133.7751
14527760,47.5162,14.5501
410860,40.1431,47.5769
865876,53.7098,27.9534
55154190,50.5039,4.4699
0,27.5142,90.4336
3645680,-14.2350,-51.9253
0,4.5353,114.7277
1099200,42.7339,25.4858
84378260,56.1304,-106.3468
2780976,-35.6751,-71.5430
40278456,35.0000,103.0000
0,7.54,5.5471
663918,45.1000,15.2000
7192432,56.2639,9.5018
25648,-1.8312,-78.1834
454336,26.8206,30.8025
313895,58.5953,25.0136
274800,61.9241,25.7482
151777540,46.2276,2.2137
127490,42.3154,43.3569
429208300,51.1657,10.4515
677840,39.0742,21.8243
0,71.7069,-42.6043
0,-9.9456,9.6966
5587600,47.1625,19.5033
34867976,20.5937,78.9629
8262319.5,-0.7893,113.9213
5437376,32.4279,53.6880
293120,53.7798,-7.3055
17869328,41.8719,12.5674
74280270,36.2048,138.2529
2062184.1,48.0196,66.9237
178115,41.2044,74.7661
205705,56.8796,24.6032
321896,55.1694,23.8813
0,22.1987,111.5439
1110192,4.2105,101.9758
0,21.0079,-10.9408
76236850,23.6345,-102.5528
320205,47.4116,28.3699
60276,42.7087,19.3744
22170864,52.1326,5.2913
3557744,-40.9006,174.8860
487312,9.0820,8.6753
725472,40.3399,127.5101
349752,41.6086,21.7453
5301808,60.4720,8.4689
0,-6.3149,143.9555
2147104,-9.1900,-75.0152
102592,12.8797,121.7740
76379740,51.9194,19.1451
2103136,39.3999,-8.2245
5485008,45.9432,24.9668
18980556,61.5240,105.3188
1773799,44.0165,21.0059
0,8.4606,-11.7799
0,1.3521,103.8198
10957551,48.6690,19.6990
505940.97,46.1512,14.9955
25666320,-30.5595,22.9375
40304,35.9078,127.7669
14055104,40.4637,-3.7492
10542065,60.1282,18.6435
7232736,46.8182,8.2275
3044784,23.6978,120.9605
101529,38.8610,71.2761
868368,10.6918,-61.2225
29312,33.8869,9.5375
1403312,38.9637,35.2433
259941.02,38.9697,59.5563
0,-7.1095,177.6493
6028199,48.3794,31.1656
470750720,55.3781,-3.4360
1738245800,37.0902,-95.7129
807406,41.3775,64.5853
150224,6.4238,-66.5897
1857648,14.0583,108.2772
1388656,-19.0154,29.1549
