Year,Emissions fossil fuel,Emissions solid fuel,Emissions liquid fuel,Emissions gas fuel,Emissions cement production,Emissions gas flaring,Emissions per capita(metric tons of carbon)
1751,3,3,0,0,0,0,
1752,3,3,0,0,0,0,
1753,3,3,0,0,0,0,
1754,3,3,0,0,0,0,
1755,3,3,0,0,0,0,
1756,3,3,0,0,0,0,
1757,3,3,0,0,0,0,
1758,3,3,0,0,0,0,
1759,3,3,0,0,0,0,
1760,3,3,0,0,0,0,
1761,3,3,0,0,0,0,
1762,3,3,0,0,0,0,
1763,3,3,0,0,0,0,
1764,3,3,0,0,0,0,
1765,3,3,0,0,0,0,
1766,3,3,0,0,0,0,
1767,3,3,0,0,0,0,
1768,3,3,0,0,0,0,
1769,3,3,0,0,0,0,
1770,3,3,0,0,0,0,
1771,4,4,0,0,0,0,
1772,4,4,0,0,0,0,
1773,4,4,0,0,0,0,
1774,4,4,0,0,0,0,
1775,4,4,0,0,0,0,
1776,4,4,0,0,0,0,
1777,4,4,0,0,0,0,
1778,4,4,0,0,0,0,
1779,4,4,0,0,0,0,
1780,4,4,0,0,0,0,
1781,5,5,0,0,0,0,
1782,5,5,0,0,0,0,
1783,5,5,0,0,0,0,
1784,5,5,0,0,0,0,
1785,5,5,0,0,0,0,
1786,5,5,0,0,0,0,
1787,5,5,0,0,0,0,
1788,5,5,0,0,0,0,
1789,5,5,0,0,0,0,
1790,5,5,0,0,0,0,
1791,6,6,0,0,0,0,
1792,6,6,0,0,0,0,
1793,6,6,0,0,0,0,
1794,6,6,0,0,0,0,
1795,6,6,0,0,0,0,
1796,6,6,0,0,0,0,
1797,7,7,0,0,0,0,
1798,7,7,0,0,0,0,
1799,7,7,0,0,0,0,
1800,8,8,0,0,0,0,
1801,8,8,0,0,0,0,
1802,10,10,0,0,0,0,
1803,9,9,0,0,0,0,
1804,9,9,0,0,0,0,
1805,9,9,0,0,0,0,
1806,10,10,0,0,0,0,
1807,10,10,0,0,0,0,
1808,10,10,0,0,0,0,
1809,10,10,0,0,0,0,
1810,10,10,0,0,0,0,
1811,11,11,0,0,0,0,
1812,11,11,0,0,0,0,
1813,11,11,0,0,0,0,
1814,11,11,0,0,0,0,
1815,12,12,0,0,0,0,
1816,13,13,0,0,0,0,
