Nation,Year,Emissions,LAT,LON
CHINA,2019,2866846,35.0000,103.0000 
UNITED STATES OF AMERICA,2019,1367764,35.0078,-97.0929
INDIA,2019,720048,20.5937,78.9629
RUSSIAN FEDERATION,2019,493413,61.5240,105.3188
JAPAN,2019,294805,36.2048,138.2529
ISLAMIC REPUBLIC OF IRAN,2019,204363,32.4279,53.6880
INDONESIA,2019,192946,-0.7893,113.9213
GERMANY,2019,178055,51.1657,10.4515
SAUDI ARABIA,2019,176335,23.8859,45.0792
REPUBLIC OF KOREA,2019,166895,35.9078,127.7669
CANADA,2019,166043,56.1304,-106.3468
MEXICO,2019,127485,23.6345,-102.5528
SOUTH AFRICA,2019,127239,-30.5595,22.9375
BRAZIL,2019,117954,-14.2350,-51.9253
TURKEY,2019,106372,38.9637,35.2433
AUSTRALIA,2019,99790,-25.2744,133.7751
UNITED KINGDOM,2019,94355,55.3781,-3.4360
VIETNAM,2019,88661,14.0583,108.2772
FRANCE,2019,83967,46.2276,2.2137
ITALY,2019,83897,41.8719,12.5674
POLAND,2019,80534,51.9194,19.1451
THAILAND,2019,76742,15.8700,100.9925
MALAYSIA,2019,73795,4.2105,101.9758
TAIWAN,2019,71426,23.6978,120.9605
EGYPT,2019,69002,26.8206,30.8025
SPAIN,2019,66238,40.4637,-3.7492
KAZAKHSTAN,2019,61830,48.0196,66.9237
PAKISTAN,2019,56221,30.3753,69.3451
UKRAINE,2019,53019,48.3794,31.1656
IRAQ,2019,51067,33.2232,43.6793
UNITED ARAB EMIRATES,2019,49230,23.4241,53.8478
ARGENTINA,2019,48817,-38.4161,-63.6167
ALGERIA,2019,45635,28.0339,1.6596
NETHERLANDS,2019,41607,52.1326,5.2913
PHILIPPINES,2019,39773,12.8797,121.7740
NIGERIA,2019,34349,9.0820,8.6753
UZBEKISTAN,2019,32165,41.3775,64.5853
KUWAIT,2019,28682,29.3117,47.4818
BANGLADESH,2019,28186,23.6850,90.3563
QATAR,2019,27597,25.3548,51.1839
BELGIUM,2019,26597,50.5039,4.4699
COLOMBIA,2019,26188,4.5709,74.2973
CZECH REPUBLIC,2019,25909,49.8175,15.4730
VENEZUELA,2019,25852,6.4238,-66.5897
CHILE,2019,25302,-35.6751,-71.5430
TURKMENISTAN,2019,19768,38.9697,59.5563
ROMANIA,2019,19493,45.9432,24.9668
MOROCCO,2019,18768,31.7917,-7.0926
LIBYAN ARAB JAMAHIRIYAH,2019,18193,26.3351,17.2283
AUSTRIA,2019,16953,47.5162,14.5501
BELARUS,2019,16543,53.7098,27.9534
ISRAEL,2019,16165,31.0461,34.8516
GREECE,2019,15942,39.0742,21.8243
PERU,2019,15627,-9.1900,-75.0152
OMAN,2019,15406,21.4735,55.9754
DEMOCRATIC PEOPLES REPUBLIC OF KOREA,2019,14516,40.3399,127.5101
MONGOLIA,2019,12882,46.8625,103.8467
HUNGARY,2019,12829,47.1625,19.5033
SERBIA,2019,12087,44.0165,21.0059
PORTUGAL,2019,12080,39.3999,-8.2245
HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA,2019,11441,22.3193,114.1694
AZERBAIJAN,2019,11043,40.1431,47.5769
TRINIDAD AND TOBAGO,2019,11029,10.6918,-61.2225
FINLAND,2019,11025,61.9241,25.7482
NORWAY,2019,10865,60.4720,8.4689
ECUADOR,2019,10837,-1.8312,-78.1834
BULGARIA,2019,10836,42.7339,25.4858
BAHRAIN,2019,10270,26.0667,50.5577
SWEDEN,2019,10261,60.1282,18.6435
MYANMAR,2019,9460,21.9162,95.9560
IRELAND,2019,9457,53.7798,-7.3055
NEW ZEALAND,2019,9322,-40.9006,174.8860
SWITZERLAND,2019,9134,46.8182,8.2275
SLOVAKIA,2019,8393,48.6690,19.6990
SINGAPORE,2019,8165,1.3521,103.8198
TUNISIA,2019,8000,33.8869,9.5375
DOMINICAN REPUBLIC,2019,7716,18.7357,-70.1627
SYRIAN ARAB REPUBLIC,2019,7575,34.8021,38.9968
DENMARK,2019,7500,56.2639,9.5018
JORDAN,2019,7293,30.5852,36.2384
LEBANON,2019,7194,33.8547,35.8623
PLURINATIONAL STATE OF BOLIVIA,2019,6397,-16.2902,-63.5887
ANGOLA,2019,6230,-11.2027,17.8739
CUBA,2019,6196,21.5218,-77.7812
SRI LANKA,2019,6078,7.8731,80.7718
REPUBLIC OF SUDAN,2019,5844,12.8628,30.2176
BOSNIA & HERZEGOVINA,2019,5682,43.9159,17.6791
LAO PEOPLES DEMOCRATIC REPUBLIC,2019,5366,19.8563,102.4955
GUATEMALA,2019,5347,15.7835,-90.2308
KENYA,2019,5230,-0.0236,37.9062
GHANA,2019,5030,7.9465,-1.0232
ETHIOPIA,2019,4987,9.1450,40.4897
CROATIA,2019,4648,45.1000,15.2000
CAMBODIA,2019,4312,12.5657,104.9910
ESTONIA,2019,3783,58.5953,25.0136
LITHUANIA,2019,3718,55.1694,23.8813
NEPAL,2019,3698,28.3949,84.1240
PANAMA,2019,3656,8.5380,-80.7821
UNITED REPUBLIC OF TANZANIA,2019,3556,-6.3690,34.8888
SLOVENIA,2019,3552,46.1512,14.9955
SENEGAL,2019,3478,14.4974,-14.4524
COTE D IVOIRE,2019,3312,7.5400,-5.5471
YEMEN,2019,3136,15.5527,48.5164
HONDURAS,2019,3039,15.2000,-86.2419
ZIMBABWE,2019,3032,-19.0154,29.1549
AFGHANISTAN,2019,3017,33.9391,67.7100
GEORGIA,2019,3017,42.3154,43.3569
BRUNEI,2019,2907,4.5353,114.7277
LUXEMBOURG,2019,2617,-49.8153,6.1296
TAJIKISTAN,2019,2616,38.8610,71.2761
KYRGYZSTAN,2019,2486,41.2044,74.7661
KOSOVO,2019,2319,42.6026,20.9030
PARAGUAY,2019,2295,-23.4425,-58.4438
COSTA RICA,2019,2190,9.7489,-83.7534
MACEDONIA,2019,2182,41.6086,21.7453
PAPUA NEW GUINEA,2019,4280,-6.3149,143.9555
JAMAICA,2019,2121,18.1096,-77.2975
ZAMBIA,2019,2113,-13.1339,27.8493
BENIN,2019,2107,9.3077,2.3158
REPUBLIC OF CAMEROON,2019,2056,4.3697,12.3547
EL SALVADOR,2019,2021,13.7942,-88.8965
MOZAMBIQUE,2019,1948,-18.6657,35.5296
LATVIA,2019,1940,56.8796,24.6032
UGANDA,2019,1891,1.3733,32.2903
CYPRUS,2019,1887,35.1264,-33.4299
BOTSWANA,2019,1851,-22.3285,24.6849
URUGUAY,2019,1768,-32.5228,-55.7658
ARMENIA,2019,1691,40.0691,45.0382
REPUBLIC OF MOLDOVA,2019,1480,47.4116,28.3699
BURKINA FASO,2019,1444,12.2383,-1.5616
NICARAGUA,2019,1422,12.8654,-85.2072
NEW CALEDONIA,2019,1397,-20.9043,165.6180
GUINEA,2019,1368,-9.9456,9.6966
ALBANIA,2019,1276,41.1533,20.1683
GABON,2019,1261,0.8037,11.6094
MAURITIUS,2019,1234,-20.3484,57.5522
MADAGASCAR,2019,1173,-18.7669,46.8691
CONGO,2019,1144,-4.0383,21.7587
MAURITANIA,2019,1132,21.0079,-10.9408
NAMIBIA,2019,1084,-22.9576,18.4904
MALI,2019,1051,17.5707,-3.9962
OCCUPIED PALESTINIAN TERRITORY,2019,891,31.8833,-35.2000
HAITI,2019,832,18.9712,-72.2852
GUYANA,2019,743,4.8604,-58.9302
SURINAME,2019,732,3.9193,-56.0278
DEMOCRATIC REPUBLIC OF THE CONGO,2019,710,-0.2280,15.8277
BAHAMAS,2019,692,25.0343,-77.3963
MONTENEGRO,2019,676,42.7087,19.3744
NIGER,2019,658,17.6078,8.0817
LESOTHO,2019,652,-29.6100,28.2336
ICELAND,2019,550,64.9631,-19.0208
CURACAO,2019,535,12.1696,-68.9900
MALDIVES,2019,533,3.2028,-73.2207
TOGO,2019,531,8.6195,0.8248
RWANDA,2019,497,-1.9403,29.8739
REPUBLIC OF SOUTH SUDAN,2019,451,6.8770,31.3070
MALTA,2019,443,35.9375,-14.3754
CHAD,2019,437,15.4542,18.7322
MALAWI,2019,435,-13.2543,34.3015
BHUTAN,2019,399,27.5142,90.4336
FIJI,2019,386,-17.7134,178.0650
SIERRA LEONE,2019,362,8.4606,-11.7799
MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA,2019,331,22.1987,-113.5439
BARBADOS,2019,318,13.1939,-59.5432
SWAZILAND,2019,306,26.5225,-31.4659
LIBERIA,2019,302,6.4281,-9.4295
ARUBA,2019,249,12.5211,-69.9683
FRENCH POLYNESIA,2019,239,17.6797,-149.4068
ERITREA,2019,233,15.1794,39.7823
FAEROE ISLANDS,2019,202,61.8926,-6.9118
BURUNDI,2019,196,-3.3731,29.9189
BELIZE,2019,193,17.1899,-88.4976
GIBRALTAR,2019,192,36.1408,-5.3536
SAINT MARTIN,2019,188,18.0708,-63.0501
CAYMAN ISLANDS,2019,187,19.3133,-81.2546
TIMOR-LESTE,2019,187,-8.8742,125.7275
SOMALIA,2019,174,5.1521,46.1996
CAPE VERDE,2019,167,16.5388,-23.0418
GAMBIA,2019,164,13.4432,-15.3101
SEYCHELLES,2019,162,4.6796,-55.4920
BERMUDA,2019,159,32.3078,-64.7505
SAINT LUCIA,2019,141,13.9094,-60.9789
ANTIGUA & BARBUDA,2019,136,17.0608,-61.7964
ANDORRA,2019,131,42.5063,-1.5218
GREENLAND,2019,122,71.7069,-42.6043
DJIBOUTI,2019,107,11.8251,42.5903
TURKS AND CAICOS ISLANDS,2019,99,21.6940,-71.7979
GRENADA,2019,90,12.1165,-61.6790
GUINEA BISSAU,2019,88,-11.8037,15.1804
COMOROS,2019,85,11.6455,-43.3333
SOLOMON ISLANDS,2019,80,-9.6457,160.1562
SAMOA,2019,74,-13.7590,-172.1046
ISLE OF MAN,2019,73,54.2361,-4.5481
ST KITTS-NEVIS,2019,69,17.3578,-62.7830
CENTRAL AFRICAN REPUBLIC,2019,62,6.6111,20.9394
ST VINCENT & THE GRENADINES,2019,62,12.9843,-61.2872
PALAU,2019,60,7.5150,134.5825
BRITISH VIRGIN ISLANDS,2019,46,18.4207,-64.6400
DOMINICA,2019,46,15.4150,-61.3710
TONGA,2019,44,-21.1790,-175.1982
VANUATU,2019,44,-15.3767,166.9592
ANGUILLA,2019,42,18.2206,-63.0686
FEDERATED STATES OF MICRONESIA,2019,4,7.4256,160.5508
MARSHALL ISLANDS,2019,40,7.1315,171.1845
SAO TOME & PRINCIPE,2019,36,0.1864,-6.6131
GUADELOUPE,2019,32,16.2650,-61.5510
CARIBBEAN NETHERLANDS,2019,30,12.1784,-68.2385
REUNION,2019,26,21.1151,-55.5364
COOK ISLANDS,2019,23,21.2367,-159.7777
KIRIBATI,2019,18,1.8369,-157.3768
ST PIERRE & MIQUELON,2019,18,46.8852,-56.3159
MARTINIQUE,2019,15,14.6415,-61.0242
NAURU,2019,15,0.5228,-166.9315
LIECHTENSTEIN,2019,13,47.1410,-9.5209
FALKLAND ISLANDS,2019,10,-51.7963,-59.5236
FRENCH GUIANA,2019,10,3.9339,-53.1258
WALLIS AND FUTUNA ISLANDS,2019,7,-14.2938,178.1165
MONTSERRAT,2019,6,16.7425,-62.1874
SAINT HELENA,2019,4,-15.9650,5.7089
NIUE,2019,3,-19.0544,169.8672
TUVALU,2019,2,-7.1095,177.6493
